===========================================
IRS-90 Sensor LED Controller
Function: Read sensor status and control LEDs
===========================================
Device initialization successful:
  - IRS-90 sensor: /dev/irs90_all
  - LED controller: /dev/led_all (fd=3)
Initial state: All LEDs off
[15:16:08] Sensor: 000 -> LED: 000
............[15:18:28] Sensor: 111 -> LED: 111
[15:18:29] Sensor: 000 -> LED: 000
[15:18:29] Sensor: 100 -> LED: 100
[15:18:30] Sensor: 000 -> LED: 000
[15:18:30] Sensor: 010 -> LED: 010
[15:18:30] Sensor: 000 -> LED: 000
[15:18:30] Sensor: 001 -> LED: 001
[15:18:31] Sensor: 000 -> LED: 000
[15:18:31] Sensor: 011 -> LED: 011
[15:18:31] Sensor: 111 -> LED: 111
[15:18:32] Sensor: 000 -> LED: 000
................[15:21:10] Sensor: 111 -> LED: 111
[15:21:10] Sensor: 000 -> LED: 000
...........................................................................................................[15:38:59] Sensor: 001 -> LED: 001
[15:39:00] Sensor: 000 -> LED: 000
[15:39:03] Sensor: 111 -> LED: 111
[15:39:04] Sensor: 000 -> LED: 000
.[15:39:15] Sensor: 110 -> LED: 110
[15:39:15] Sensor: 000 -> LED: 000
[15:39:15] Sensor: 101 -> LED: 101
[15:39:15] Sensor: 111 -> LED: 111
.[15:39:18] Sensor: 000 -> LED: 000
[15:39:18] Sensor: 111 -> LED: 111
[15:39:19] Sensor: 000 -> LED: 000
.[15:39:31] Sensor: 111 -> LED: 111
[15:39:32] Sensor: 000 -> LED: 000
[15:39:32] Sensor: 010 -> LED: 010
[15:39:33] Sensor: 011 -> LED: 011
[15:39:33] Sensor: 111 -> LED: 111
[15:39:33] Sensor: 000 -> LED: 000
............[15:41:30] Sensor: 100 -> LED: 100
[15:41:30] Sensor: 000 -> LED: 000
[15:41:31] Sensor: 110 -> LED: 110
[15:41:31] Sensor: 000 -> LED: 000
[15:41:32] Sensor: 111 -> LED: 111
[15:41:33] Sensor: 110 -> LED: 110
[15:41:33] Sensor: 000 -> LED: 000
[15:41:34] Sensor: 100 -> LED: 100
[15:41:34] Sensor: 000 -> LED: 000
[15:41:34] Sensor: 100 -> LED: 100
[15:41:35] Sensor: 000 -> LED: 000
[15:41:35] Sensor: 100 -> LED: 100
[15:41:35] Sensor: 110 -> LED: 110
.[15:41:36] Sensor: 100 -> LED: 100
[15:41:36] Sensor: 000 -> LED: 000
[15:41:37] Sensor: 111 -> LED: 111
[15:41:37] Sensor: 100 -> LED: 100
[15:41:37] Sensor: 000 -> LED: 000
[15:41:45] Sensor: 111 -> LED: 111
[15:41:45] Sensor: 000 -> LED: 000
................[15:44:19] Sensor: 111 -> LED: 111
[15:44:20] Sensor: 011 -> LED: 011
[15:44:20] Sensor: 000 -> LED: 000
[15:44:21] Sensor: 100 -> LED: 100
[15:44:21] Sensor: 000 -> LED: 000
[15:44:22] Sensor: 100 -> LED: 100
[15:44:22] Sensor: 110 -> LED: 110
[15:44:22] Sensor: 111 -> LED: 111
[15:44:23] Sensor: 110 -> LED: 110
[15:44:24] Sensor: 100 -> LED: 100
[15:44:24] Sensor: 000 -> LED: 000
[15:44:25] Sensor: 100 -> LED: 100
[15:44:25] Sensor: 110 -> LED: 110
[15:44:26] Sensor: 111 -> LED: 111
.[15:44:27] Sensor: 000 -> LED: 000
..[15:44:48] Sensor: 011 -> LED: 011
[15:44:48] Sensor: 111 -> LED: 111
[15:44:54] Sensor: 110 -> LED: 110
[15:44:55] Sensor: 111 -> LED: 111
[15:44:55] Sensor: 000 -> LED: 000
[15:44:56] Sensor: 010 -> LED: 010
[15:44:56] Sensor: 111 -> LED: 111
[15:44:56] Sensor: 000 -> LED: 000
..[15:45:13] Sensor: 011 -> LED: 011
[15:45:13] Sensor: 111 -> LED: 111
[15:45:13] Sensor: 000 -> LED: 000
[15:45:15] Sensor: 111 -> LED: 111
.[15:45:23] Sensor: 000 -> LED: 000
[15:45:23] Sensor: 111 -> LED: 111
[15:45:24] Sensor: 000 -> LED: 000
[15:45:25] Sensor: 111 -> LED: 111
[15:45:26] Sensor: 000 -> LED: 000
[15:45:26] Sensor: 111 -> LED: 111
.[15:45:26] Sensor: 000 -> LED: 000
[15:45:34] Sensor: 100 -> LED: 100
[15:45:34] Sensor: 110 -> LED: 110
[15:45:34] Sensor: 111 -> LED: 111
[15:45:35] Sensor: 110 -> LED: 110
[15:45:36] Sensor: 100 -> LED: 100
[15:45:36] Sensor: 000 -> LED: 000
.[15:45:37] Sensor: 100 -> LED: 100
[15:45:37] Sensor: 110 -> LED: 110
[15:45:38] Sensor: 111 -> LED: 111
[15:45:38] Sensor: 110 -> LED: 110
[15:45:39] Sensor: 100 -> LED: 100
[15:45:39] Sensor: 000 -> LED: 000
.....................[15:49:16] Sensor: 111 -> LED: 111
[15:49:16] Sensor: 110 -> LED: 110
[15:49:16] Sensor: 000 -> LED: 000
...................
